Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20,RSI,EMA12,EMA26,MACD,Volume_MA5,Daily_return,High_Low_pct
2024-03-07 00:00:00-05:00,174.8300018310547,177.99000549316406,173.72000122070312,176.82000732421875,34063300,0.0,0.0,,,,176.82000732421875,176.82000732421875,0.0,,,2.4148875102303435
2024-03-08 00:00:00-05:00,176.44000244140625,178.7899932861328,174.3300018310547,175.35000610351562,37893200,0.0,0.0,,,,176.5938532902644,176.71111834490742,-0.1172650546430134,,-0.8313545751684748,2.543479498053297
2024-03-11 00:00:00-04:00,174.30999755859375,174.47000122070312,171.47000122070312,171.9600067138672,28484800,0.0,0.0,,,,175.88095381697252,176.35918415001555,-0.47823033304302953,,-1.9332758891648982,1.7445916974124391
2024-03-12 00:00:00-04:00,173.5,176.75999450683594,171.97999572753906,175.38999938964844,36610600,0.0,0.0,,,,175.80542236661498,176.28739268628465,-0.48197031966967074,,1.9946455814511488,2.7253542368043315
2024-03-13 00:00:00-04:00,175.89999389648438,177.6199951171875,175.5500030517578,176.55999755859375,30772600,0.0,0.0,175.21600341796875,,,175.92151085768862,176.30758563978904,-0.38607478210042245,33564900.0,0.6670837408158103,1.1724015032016148
2024-03-14 00:00:00-04:00,177.69000244140625,179.52999877929688,176.47000122070312,178.75,43705800,0.0,0.0,175.602001953125,,,176.35666303342882,176.48850522202687,-0.13184218859805696,35493400.0,1.2403729449981915,1.7118867460664335
2024-03-15 00:00:00-04:00,176.63999938964844,177.92999267578125,173.89999389648438,174.4199981689453,72147400,0.0,0.0,175.41600036621094,,,176.05871459273905,176.33528247735416,-0.27656788461510473,42344240.0,-2.4223786467438835,2.310514173606039
2024-03-18 00:00:00-04:00,175.8000030517578,176.69000244140625,174.27999877929688,174.47999572753906,31250700,0.0,0.0,175.9199981689453,,,175.81583476732365,176.1978538292197,-0.3820190618960453,42897420.0,0.0343983254349256,1.3812492670350243
2024-03-19 00:00:00-04:00,174.22000122070312,176.08999633789062,173.52000427246094,175.89999389648438,26880900,0.0,0.0,176.0219970703125,,,175.82878232565608,176.17579013049857,-0.34700780484249094,40951480.0,0.8138458297320961,1.4610529588432537
2024-03-20 00:00:00-04:00,176.13999938964844,178.52999877929688,174.63999938964844,178.14999389648438,29947200,0.0,0.0,176.33999633789062,,,176.1858917980912,176.32202744649751,-0.13613564840630943,40786400.0,1.2791359170393646,2.1835529177221056
