Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20,RSI,EMA12,EMA26,MACD,Volume_MA5,Daily_return,High_Low_pct
2024-03-07 00:00:00-05:00,399.98080286179095,403.5854793634372,396.159450830879,402.9551696777344,18718500,0.0,0.0,,,,402.9551696777344,402.9551696777344,0.0,,,1.8428919868424036
2024-03-08 00:00:00-05:00,401.79297194630584,404.21580644025056,398.2178408535662,400.07928466796875,18002200,0.0,0.0,,,,402.5127258300781,402.7421411584925,-0.22941532841434764,,-0.7136985020109399,1.4991942388774646
2024-03-11 00:00:00-04:00,397.65653833769795,399.5474976681266,395.1943297935152,398.405029296875,16120800,0.0,0.0,,,,401.88077251727765,402.4208736131875,-0.5401010959098471,,-0.41848089497641405,1.0926488258178122
2024-03-12 00:00:00-04:00,401.4581099515854,409.28794389731524,400.64067006988586,409.0023193359375,22457000,0.0,0.0,,,,402.9763951047638,402.90838811116896,0.06800699359484952,,2.6599287809607075,2.114235890268113
2024-03-13 00:00:00-04:00,411.7797232101297,411.85850065118984,405.2302551257752,408.8250732421875,17115900,0.0,0.0,403.85337524414064,,,403.87619174129054,403.346661083837,0.529530657453563,18482880.0,-0.04333620749089606,1.6212913442048262
2024-03-14 00:00:00-04:00,413.88738417925487,421.3528170705886,411.6713965625505,418.7921142578125,34157300,0.0,0.0,407.02076416015626,,,406.1709490515247,404.4907687263537,1.6801803251710226,21570640.0,2.4379720491655155,2.311748521147688
2024-03-15 00:00:00-04:00,412.95173236718284,416.2116937258995,406.54999083820695,410.1251220703125,45079900,0.0,0.0,409.029931640625,,,406.77928336210744,404.9081282333136,1.8711551287938164,26986180.0,-2.0695213430319104,2.355793968172511
2024-03-18 00:00:00-04:00,407.9879061886506,414.3699607798189,407.52500983634934,411.0115051269531,20106000,0.0,0.0,411.5512268066406,,,407.4303944028529,405.3602302254351,2.070164177417837,27783220.0,0.21612503329866417,1.665391566436875
2024-03-19 00:00:00-04:00,411.5138040831413,415.2957826626085,409.26827120822617,415.0397033691406,19837900,0.0,0.0,412.7587036132812,,,408.60105732074334,406.0772282360799,2.5238290846634186,27259400.0,0.9800694608155247,1.4522734585277437
2024-03-20 00:00:00-04:00,415.6207267192323,419.5208559286198,414.3009867861631,418.8019104003906,17860100,0.0,0.0,414.7540710449219,,,410.17041933299674,407.0197972852881,3.150622047708623,27408240.0,0.9064691885402265,1.2463814067768544
2024-03-21 00:00:00-04:00,423.3323713938263,424.3074262893576,420.7027498405441,422.87933349609375,21296200,0.0,0.0,415.57151489257814,,,412.12563689655013,408.19457774534783,3.931059151202305,24836020.0,0.9735922865788726,0.8524125355127585
2024-03-22 00:00:00-04:00,423.2043596919927,423.3619145681295,419.62922855755534,422.25885009765625,17648500,0.0,0.0,417.9982604980469,,,413.6845927736434,409.23637569737065,4.4482170762727264,19349740.0,-0.14672823883535857,0.883980527515509
2024-03-25 00:00:00-04:00,418.8117700116772,420.9489800236463,415.2366387798196,416.4677429199219,18060500,0.0,0.0,419.0895080566406,,,414.1127697192247,409.7720325286707,4.340737190553966,18940640.0,-1.371459041390144,1.3716167316528676
2024-03-26 00:00:00-04:00,419.17616089060704,419.55042134825453,414.98057853086766,415.2760314941406,16725600,0.0,0.0,419.13677368164065,,61.341788054391586,414.2917330692118,410.1797361557426,4.11199691346917,18318180.0,-0.28614735379647316,1.1004350048676839
2024-03-27 00:00:00-04:00,418.0238957387452,418.0337541903471,412.67598630724365,415.05938720703125,16705000,0.0,0.0,418.3882690429688,,61.098093772961825,414.4098337057994,410.54119178917136,3.8686419166280075,18087160.0,-0.05216874336086974,1.290843683636774
2024-03-28 00:00:00-04:00,414.59650033328086,415.4927478182186,412.784318516005,414.3601379394531,21871200,0.0,0.0,416.68442993164064,,63.63815997701108,414.4021882032846,410.8240766891922,3.5781115140923703,18202160.0,-0.1684696911166017,0.6536413747910738
